symbol,ticker,market,currency,yahoo_symbol,figi
ALL.US,ALL,US,USD,ALL,
ALLE.US,ALLE,US,USD,ALLE,
ALLN.US,ALLN,US,USD,ALLN,
ALLO.US,ALLO,US,USD,ALLO,
ALLR.US,ALLR,US,USD,ALLR,
ALLT.US,ALLT,US,USD,ALLT,
ALLY.US,ALLY,US,USD,ALLY,
ALM.US,ALM,US,USD,ALM,
ALMMF.US,ALMMF,US,USD,ALMMF,
ALMP.US,ALMP,US,USD,ALMP,
ALMR.US,ALMR,US,USD,ALMR,
ALMS.US,ALMS,US,USD,ALMS,
ALMU.US,ALMU,US,USD,ALMU,
ALNT.US,ALNT,US,USD,ALNT,
ALNY.US,ALNY,US,USD,ALNY,
ALOIS.US,ALOIS,US,USD,ALOIS,
ALOV.US,ALOV,US,USD,ALOV,
ALOVU.US,ALOVU,US,USD,ALOVU,
ALOVW.US,ALOVW,US,USD,ALOVW,
ALOY.US,ALOY,US,USD,ALOY,
ALP.US,ALP,US,USD,ALP,
ALPIB.US,ALPIB,US,USD,ALPIB,
ALPS.US,ALPS,US,USD,ALPS,
ALPWF.US,ALPWF,US,USD,ALPWF,
ALPX.US,ALPX,US,USD,ALPX,
ALPXR.US,ALPXR,US,USD,ALPXR,
ALPXU.US,ALPXU,US,USD,ALPXU,
ALPXW.US,ALPXW,US,USD,ALPXW,
ALRM.US,ALRM,US,USD,ALRM,
ALRS.US,ALRS,US,USD,ALRS,
ALRTF.US,ALRTF,US,USD,ALRTF,
ALSAF.US,ALSAF,US,USD,ALSAF,
ALSN.US,ALSN,US,USD,ALSN,
ALSTF.US,ALSTF,US,USD,ALSTF,
ALSUF.US,ALSUF,US,USD,ALSUF,
ALSWF.US,ALSWF,US,USD,ALSWF,
ALT.US,ALT,US,USD,ALT,
ALTB.US,ALTB,US,USD,ALTB,
ALTG-PA.US,ALTG-PA,US,USD,ALTG-PA,
ALTG.US,ALTG,US,USD,ALTG,
ALTI.US,ALTI,US,USD,ALTI,
ALTO.US,ALTO,US,USD,ALTO,
ALTUF.US,ALTUF,US,USD,ALTUF,
ALTX.US,ALTX,US,USD,ALTX,
ALUB-UN.US,ALUB-UN,US,USD,ALUB-UN,
ALUB-WT.US,ALUB-WT,US,USD,ALUB-WT,
ALUB.US,ALUB,US,USD,ALUB,
ALUR.US,ALUR,US,USD,ALUR,
ALURW.US,ALURW,US,USD,ALURW,
ALV.US,ALV,US,USD,ALV,
ALVO.US,ALVO,US,USD,ALVO,
ALVOW.US,ALVOW,US,USD,ALVOW,
ALX.US,ALX,US,USD,ALX,
ALXO.US,ALXO,US,USD,ALXO,
ALYAF.US,ALYAF,US,USD,ALYAF,
ALZN.US,ALZN,US,USD,ALZN,
AM.US,AM,US,USD,AM,
AMAC.US,AMAC,US,USD,AMAC,
AMACU.US,AMACU,US,USD,AMACU,
AMACW.US,AMACW,US,USD,AMACW,
AMAL.US,AMAL,US,USD,AMAL,
AMAN.US,AMAN,US,USD,AMAN,
AMAT.US,AMAT,US,USD,AMAT,BBG000BBPFB9
AMBA.US,AMBA,US,USD,AMBA,
AMBIQ.US,AMBIQ,US,USD,AMBIQ,
AMBO.US,AMBO,US,USD,AMBO,
AMBP.US,AMBP,US,USD,AMBP,
AMBQ.US,AMBQ,US,USD,AMBQ,
AMBR.US,AMBR,US,USD,AMBR,
AMC.US,AMC,US,USD,AMC,
AMCCF.US,AMCCF,US,USD,AMCCF,
AMCI.US,AMCI,US,USD,AMCI,
AMCR.US,AMCR,US,USD,AMCR,
AMCX.US,AMCX,US,USD,AMCX,
AMD.US,AMD,US,USD,AMD,BBG000BBQCY0
AME.US,AME,US,USD,AME,
AMEGF.US,AMEGF,US,USD,AMEGF,
AMFN.US,AMFN,US,USD,AMFN,
AMG.US,AMG,US,USD,AMG,
AMGN.US,AMGN,US,USD,AMGN,
AMH-PG.US,AMH-PG,US,USD,AMH-PG,
AMH-PH.US,AMH-PH,US,USD,AMH-PH,
AMH.US,AMH,US,USD,AMH,
AMIX.US,AMIX,US,USD,AMIX,
AMJB.US,AMJB,US,USD,AMJB,
AMKR.US,AMKR,US,USD,AMKR,
AMLIF.US,AMLIF,US,USD,AMLIF,
AMLM.US,AMLM,US,USD,AMLM,
AMLX.US,AMLX,US,USD,AMLX,
AMN.US,AMN,US,USD,AMN,
AMOD.US,AMOD,US,USD,AMOD,
AMODW.US,AMODW,US,USD,AMODW,
AMP.US,AMP,US,USD,AMP,
AMPG.US,AMPG,US,USD,AMPG,
AMPGZ.US,AMPGZ,US,USD,AMPGZ,
AMPH.US,AMPH,US,USD,AMPH,
AMPL.US,AMPL,US,USD,AMPL,
AMPM.US,AMPM,US,USD,AMPM,
AMPX-WT.US,AMPX-WT,US,USD,AMPX-WT,
AMPX.US,AMPX,US,USD,AMPX,
AMPY.US,AMPY,US,USD,AMPY,
AMR.US,AMR,US,USD,AMR,
AMRC.US,AMRC,US,USD,AMRC,
AMRN.US,AMRN,US,USD,AMRN,
AMRQF.US,AMRQF,US,USD,AMRQF,
AMRX.US,AMRX,US,USD,AMRX,
AMRZ.US,AMRZ,US,USD,AMRZ,
AMS.US,AMS,US,USD,AMS,
AMSC.US,AMSC,US,USD,AMSC,
AMSF.US,AMSF,US,USD,AMSF,
AMSS.US,AMSS,US,USD,AMSS,
AMST.US,AMST,US,USD,AMST,
AMSYF.US,AMSYF,US,USD,AMSYF,
AMT.US,AMT,US,USD,AMT,
AMTB.US,AMTB,US,USD,AMTB,
AMTD.US,AMTD,US,USD,AMTD,
AMTM.US,AMTM,US,USD,AMTM,
AMTU.US,AMTU,US,USD,AMTU,
AMTX.US,AMTX,US,USD,AMTX,
AMUB.US,AMUB,US,USD,AMUB,
AMVIF.US,AMVIF,US,USD,AMVIF,
AMVOY.US,AMVOY,US,USD,AMVOY,
AMWL.US,AMWL,US,USD,AMWL,
AMX.US,AMX,US,USD,AMX,
AMXOF.US,AMXOF,US,USD,AMXOF,
AMZE.US,AMZE,US,USD,AMZE,
AMZN.US,AMZN,US,USD,AMZN,BBG000BVPV84
AN.US,AN,US,USD,AN,
ANAB.US,ANAB,US,USD,ANAB,
ANDE.US,ANDE,US,USD,ANDE,
ANDG.US,ANDG,US,USD,ANDG,
ANEB.US,ANEB,US,USD,ANEB,
ANET.US,ANET,US,USD,ANET,
ANF.US,ANF,US,USD,ANF,
ANG-PD.US,ANG-PD,US,USD,ANG-PD,
ANGH.US,ANGH,US,USD,ANGH,
ANGHW.US,ANGHW,US,USD,ANGHW,
ANGI.US,ANGI,US,USD,ANGI,
ANGO.US,ANGO,US,USD,ANGO,
ANGX.US,ANGX,US,USD,ANGX,
ANIK.US,ANIK,US,USD,ANIK,
ANIP.US,ANIP,US,USD,ANIP,
ANIX.US,ANIX,US,USD,ANIX,
ANJFY.US,ANJFY,US,USD,ANJFY,
ANKM.US,ANKM,US,USD,ANKM,
ANL.US,ANL,US,USD,ANL,
