symbol,description,asset_class,category_name,group_name,currency,currency_profit,ticker,market,market_name,precision,contract_size,leverage,long_only,short_selling,margin_mode,instrument_type
ADAMH.US,"ADAMAS TRUST, INC.",STOCK,STC,SEC EDGAR company_tickers.json,USD,USD,ADAMH,US,United States,,,,,,,
ADAMI.US,"ADAMAS TRUST, INC.",STOCK,STC,SEC EDGAR company_tickers.json,USD,USD,ADAMI,US,United States,,,,,,,
ADAMK.US,"ADAMAS TRUST, INC.",STOCK,STC,SEC EDGAR company_tickers.json,USD,USD,ADAMK,US,United States,,,,,,,
ADAML.US,"ADAMAS TRUST, INC.",STOCK,STC,SEC EDGAR company_tickers.json,USD,USD,ADAML,US,United States,,,,,,,
ADAMM.US,"ADAMAS TRUST, INC.",STOCK,STC,SEC EDGAR company_tickers.json,USD,USD,ADAMM,US,United States,,,,,,,
ADAMN.US,"ADAMAS TRUST, INC.",STOCK,STC,SEC EDGAR company_tickers.json,USD,USD,ADAMN,US,United States,,,,,,,
ADAMO.US,"ADAMAS TRUST, INC.",STOCK,STC,SEC EDGAR company_tickers.json,USD,USD,ADAMO,US,United States,,,,,,,
ADAMZ.US,"ADAMAS TRUST, INC.",STOCK,STC,SEC EDGAR company_tickers.json,USD,USD,ADAMZ,US,United States,,,,,,,
ADAPY.US,Adaptimmune Therapeutics PLC,STOCK,STC,SEC EDGAR company_tickers.json,USD,USD,ADAPY,US,United States,,,,,,,
ADBE.US,ADOBE INC.,STOCK,STC,SEC EDGAR company_tickers.json,USD,USD,ADBE,US,United States,,,,,,,
ADBT.US,"Advasa Holdings, Inc.",STOCK,STC,SEC EDGAR company_tickers.json,USD,USD,ADBT,US,United States,,,,,,,
ADC-PA.US,AGREE REALTY CORP,STOCK,STC,SEC EDGAR company_tickers.json,USD,USD,ADC-PA,US,United States,,,,,,,
ADC.US,AGREE REALTY CORP,STOCK,STC,SEC EDGAR company_tickers.json,USD,USD,ADC,US,United States,,,,,,,
ADCT.US,ADC Therapeutics SA,STOCK,STC,SEC EDGAR company_tickers.json,USD,USD,ADCT,US,United States,,,,,,,
ADDTF.US,Addtech AB/ADR,STOCK,STC,SEC EDGAR company_tickers.json,USD,USD,ADDTF,US,United States,,,,,,,
ADEA.US,Adeia Inc.,STOCK,STC,SEC EDGAR company_tickers.json,USD,USD,ADEA,US,United States,,,,,,,
ADGM.US,"Adagio Medical Holdings, Inc.",STOCK,STC,SEC EDGAR company_tickers.json,USD,USD,ADGM,US,United States,,,,,,,
ADI.US,ANALOG DEVICES INC,STOCK,STC,SEC EDGAR company_tickers.json,USD,USD,ADI,US,United States,,,,,,,
ADIA.US,"Adia Nutrition, Inc.",STOCK,STC,SEC EDGAR company_tickers.json,USD,USD,ADIA,US,United States,,,,,,,
ADIG.US,ADI GLOBAL DISTRIBUTION INC.,STOCK,STC,SEC EDGAR company_tickers.json,USD,USD,ADIG,US,United States,,,,,,,
ADIL.US,"ADIAL PHARMACEUTICALS, INC.",STOCK,STC,SEC EDGAR company_tickers.json,USD,USD,ADIL,US,United States,,,,,,,
