symbol,description,asset_class,category_name,group_name,currency,currency_profit,ticker,market,market_name,precision,contract_size,leverage,long_only,short_selling,margin_mode,instrument_type
AWM.PL,AIRWAY MEDIX SPÓŁKA AKCYJNA,STOCK,STC,GPW Glowny Rynek,PLN,PLN,AWM,PL,Poland (GPW),,,,,,,
BBD.PL,BBI DEVELOPMENT SPÓŁKA AKCYJNA,STOCK,STC,GPW Glowny Rynek,PLN,PLN,BBD,PL,Poland (GPW),,,,,,,
BBT.PL,BOOMBIT SPÓŁKA AKCYJNA,STOCK,STC,GPW Glowny Rynek,PLN,PLN,BBT,PL,Poland (GPW),,,,,,,
BCM.PL,BETACOM SPÓŁKA AKCYJNA,STOCK,STC,GPW Glowny Rynek,PLN,PLN,BCM,PL,Poland (GPW),,,,,,,
BCS.PL,BIG CHEESE STUDIO SPÓŁKA AKCYJNA,STOCK,STC,GPW Glowny Rynek,PLN,PLN,BCS,PL,Poland (GPW),,,,,,,
BCX.PL,BIOCELTIX SPÓŁKA AKCYJNA,STOCK,STC,GPW Glowny Rynek,PLN,PLN,BCX,PL,Poland (GPW),,,,,,,
BDF.PL,BUMECH DEFENSE PARTNERS SPÓŁKA AKCYJNA,STOCK,STC,GPW Glowny Rynek,PLN,PLN,BDF,PL,Poland (GPW),,,,,,,
BDX.PL,BUDIMEX SPÓŁKA AKCYJNA,STOCK,STC,GPW Glowny Rynek,PLN,PLN,BDX,PL,Poland (GPW),,,,,,,
BFT.PL,BENEFIT SYSTEMS SPÓŁKA AKCYJNA,STOCK,STC,GPW Glowny Rynek,PLN,PLN,BFT,PL,Poland (GPW),,,,,,,
BHW.PL,BANK HANDLOWY W WARSZAWIE SPÓŁKA AKCYJNA,STOCK,STC,GPW Glowny Rynek,PLN,PLN,BHW,PL,Poland (GPW),,,,,,,
BIO.PL,BIOTON SPÓŁKA AKCYJNA,STOCK,STC,GPW Glowny Rynek,PLN,PLN,BIO,PL,Poland (GPW),,,,,,,
BIP.PL,BIO PLANET SPÓŁKA AKCYJNA,STOCK,STC,GPW Glowny Rynek,PLN,PLN,BIP,PL,Poland (GPW),,,,,,,
BLO.PL,BLOOBER TEAM SPÓŁKA AKCYJNA,STOCK,STC,GPW Glowny Rynek,PLN,PLN,BLO,PL,Poland (GPW),,,,,,,
BMC.PL,BUMECH SPÓŁKA AKCYJNA,STOCK,STC,GPW Glowny Rynek,PLN,PLN,BMC,PL,Poland (GPW),,,,,,,
BMX.PL,BIOMAXIMA SPÓŁKA AKCYJNA,STOCK,STC,GPW Glowny Rynek,PLN,PLN,BMX,PL,Poland (GPW),,,,,,,
BNP.PL,BNP PARIBAS BANK POLSKA SPÓŁKA AKCYJNA,STOCK,STC,GPW Glowny Rynek,PLN,PLN,BNP,PL,Poland (GPW),,,,,,,
BOS.PL,BANK OCHRONY ŚRODOWISKA SPÓŁKA AKCYJNA,STOCK,STC,GPW Glowny Rynek,PLN,PLN,BOS,PL,Poland (GPW),,,,,,,
BOW.PL,BOWIM SPÓŁKA AKCYJNA,STOCK,STC,GPW Glowny Rynek,PLN,PLN,BOW,PL,Poland (GPW),,,,,,,
BRS.PL,BORYSZEW SPÓŁKA AKCYJNA,STOCK,STC,GPW Glowny Rynek,PLN,PLN,BRS,PL,Poland (GPW),,,,,,,
BST.PL,BEST SPÓŁKA AKCYJNA,STOCK,STC,GPW Glowny Rynek,PLN,PLN,BST,PL,Poland (GPW),,,,,,,
CAP.PL,CAPITEA SPÓŁKA AKCYJNA,STOCK,STC,GPW Glowny Rynek,PLN,PLN,CAP,PL,Poland (GPW),,,,,,,
